accepted delta gamma error Lprev Lstar alpha time
0 1.000000e-03 5.000000e+05 -7.938245e-04 -396.912264 -396.912264 0.000000 6.903098e-310
1 1.000000e-03 5.000000e+05 -2.050052e-04 -102.502602 -102.502602 1.000000 4.145008e+01
1 1.000000e-03 5.000000e+05 -6.774043e-04 -102.502602 -338.702156 0.000000 4.145823e+01
1 1.000000e-03 5.000000e+05 -3.519190e-04 -102.502602 -175.959494 0.000000 4.147627e+01
1 1.000000e-03 5.000000e+05 -2.916179e-04 -102.502602 -145.808943 0.000000 4.145688e+01
2 1.000000e-03 5.000000e+05 -1.904039e-04 -95.201944 -95.201944 1.000000 4.145158e+01
2 1.000000e-03 5.000000e+05 -6.262051e-04 -95.201944 -313.102551 0.000000 4.143115e+01
3 1.000000e-03 5.000000e+05 -1.901763e-04 -95.088128 -95.088128 1.000000 4.145140e+01
3 1.000000e-03 5.000000e+05 -3.017309e-04 -95.088128 -150.865451 0.000000 4.145383e+01
3 1.000000e-03 5.000000e+05 -2.328923e-04 -95.088128 -116.446130 0.000000 4.147419e+01
3 1.000000e-03 5.000000e+05 -2.446767e-04 -95.088128 -122.338326 0.000000 4.144725e+01
3 1.000000e-03 5.000000e+05 -1.910692e-04 -95.088128 -95.534604 0.639879 4.145847e+01
3 1.000000e-03 5.000000e+05 -1.966139e-04 -95.088128 -98.306934 0.040003 4.144477e+01
3 1.000000e-03 5.000000e+05 -1.984371e-04 -95.088128 -99.218536 0.016076 4.145648e+01
3 1.000000e-03 5.000000e+05 -1.991196e-04 -95.088128 -99.559798 0.011428 4.144545e+01
4 1.000000e-03 5.000000e+05 -1.881134e-04 -94.056697 -94.056697 1.000000 4.146359e+01
4 1.000000e-03 5.000000e+05 -2.252181e-04 -94.056697 -112.609045 0.000000 4.147305e+01
5 1.000000e-03 5.000000e+05 -1.913851e-04 -95.692535 -95.692535 0.194789 4.144648e+01
6 1.000000e-03 5.000000e+05 -2.016814e-04 -100.840714 -100.840714 0.005810 4.145249e+01
7 1.000000e-03 5.000000e+05 -1.940487e-04 -97.024326 -97.024326 1.000000 4.145069e+01
8 1.000000e-03 5.000000e+05 -1.957630e-04 -97.881486 -97.881486 0.424366 4.144760e+01
9 1.000000e-03 5.000000e+05 -1.910232e-04 -95.511575 -95.511575 1.000000 4.145452e+01
9 1.000000e-03 5.000000e+05 -1.938206e-04 -95.511575 -96.910290 0.246914 4.145440e+01
10 1.000000e-03 5.000000e+05 -1.866936e-04 -93.346778 -93.346778 1.000000 4.145842e+01
10 1.000000e-03 5.000000e+05 -2.051661e-04 -93.346778 -102.583070 0.000097 4.146395e+01
10 1.000000e-03 5.000000e+05 -1.988756e-04 -93.346778 -99.437815 0.002263 4.144988e+01
10 1.000000e-03 5.000000e+05 -1.975187e-04 -93.346778 -98.759356 0.004460 4.146817e+01
11 1.000000e-03 5.000000e+05 -1.730883e-04 -86.544134 -86.544134 1.000000 4.144427e+01
12 1.000000e-03 5.000000e+05 -1.706634e-04 -85.331709 -85.331709 1.000000 4.144322e+01
12 1.000000e-03 5.000000e+05 -1.863974e-04 -85.331709 -93.198676 0.000383 4.144603e+01
13 1.000000e-03 5.000000e+05 -1.725887e-04 -86.294325 -86.294325 0.381892 4.145122e+01
13 1.000000e-03 5.000000e+05 -1.877864e-04 -86.294325 -93.893186 0.000501 4.146834e+01
14 1.000000e-03 5.000000e+05 -1.727231e-04 -86.361553 -86.361553 0.934982 4.144984e+01
15 1.000000e-03 5.000000e+05 -1.730293e-04 -86.514640 -86.514640 0.858055 4.144734e+01
16 1.000000e-03 5.000000e+05 -1.713663e-04 -85.683155 -85.683155 1.000000 4.144999e+01
16 1.000000e-03 5.000000e+05 -1.733725e-04 -85.683155 -86.686239 0.366747 4.144217e+01
16 1.000000e-03 5.000000e+05 -1.817341e-04 -85.683155 -90.867041 0.005606 4.147169e+01
16 1.000000e-03 5.000000e+05 -1.719699e-04 -85.683155 -85.984952 0.739488 4.145273e+01
16 1.000000e-03 5.000000e+05 -1.775366e-04 -85.683155 -88.768318 0.045723 4.146274e+01
16 1.000000e-03 5.000000e+05 -1.754242e-04 -85.683155 -87.712097 0.131475 4.145752e+01
16 1.000000e-03 5.000000e+05 -1.845465e-04 -85.683155 -92.273263 0.001374 4.145090e+01
16 1.000000e-03 5.000000e+05 -1.793401e-04 -85.683155 -89.670073 0.018557 4.145365e+01
16 1.000000e-03 5.000000e+05 -1.754989e-04 -85.683155 -87.749426 0.126657 4.145333e+01
16 1.000000e-03 5.000000e+05 -1.765582e-04 -85.683155 -88.279109 0.074575 4.145283e+01
16 1.000000e-03 5.000000e+05 -1.785730e-04 -85.683155 -89.286476 0.027233 4.147186e+01
16 1.000000e-03 5.000000e+05 -1.739138e-04 -85.683155 -86.956907 0.279780 4.145689e+01
17 1.000000e-03 5.000000e+05 -1.753183e-04 -87.659158 -87.659158 0.138622 4.146063e+01
17 1.000000e-03 5.000000e+05 -1.813162e-04 -87.659158 -90.658082 0.049841 4.145057e+01
18 1.000000e-03 5.000000e+05 -1.695113e-04 -84.755664 -84.755664 1.000000 4.145410e+01
18 1.000000e-03 5.000000e+05 -1.802325e-04 -84.755664 -90.116254 0.004698 4.144689e+01
18 1.000000e-03 5.000000e+05 -1.767657e-04 -84.755664 -88.382834 0.026591 4.147279e+01
18 1.000000e-03 5.000000e+05 -1.849062e-04 -84.755664 -92.453092 0.000454 4.143456e+01
18 1.000000e-03 5.000000e+05 -1.723523e-04 -84.755664 -86.176145 0.241598 4.146412e+01
18 1.000000e-03 5.000000e+05 -1.732143e-04 -84.755664 -86.607153 0.157003 4.144885e+01
18 1.000000e-03 5.000000e+05 -1.706329e-04 -84.755664 -85.316463 0.570753 4.144115e+01
18 1.000000e-03 5.000000e+05 -1.715161e-04 -84.755664 -85.758067 0.366997 4.144031e+01
18 1.000000e-03 5.000000e+05 -1.731854e-04 -84.755664 -86.592696 0.159289 4.146026e+01
19 1.000000e-03 5.000000e+05 -1.708501e-04 -85.425040 -85.425040 0.512028 4.145162e+01
