accepted delta gamma Lprev Lstar alpha time
0 5.000000e-03 1.000000e+05 -63.225313 -66.253542 0.048401 1.098779e+00
1 5.000000e-03 1.000000e+05 -63.785689 -63.785689 0.570995 1.096864e+00
2 5.000000e-03 1.000000e+05 -61.112797 -61.112797 1.000000 1.075387e+00
2 5.000000e-03 1.000000e+05 -61.112797 -66.661148 0.003894 1.088407e+00
3 5.000000e-03 1.000000e+05 -62.694094 -62.694094 0.205708 1.070644e+00
3 5.000000e-03 1.000000e+05 -62.694094 -65.089497 0.091136 1.092376e+00
3 5.000000e-03 1.000000e+05 -62.694094 -64.377865 0.185672 1.074510e+00
4 5.000000e-03 1.000000e+05 -62.788259 -62.788259 0.910132 1.098095e+00
4 5.000000e-03 1.000000e+05 -62.788259 -63.123353 0.715271 1.074681e+00
4 5.000000e-03 1.000000e+05 -62.788259 -67.935646 0.005815 1.097123e+00
5 5.000000e-03 1.000000e+05 -59.185814 -59.185814 1.000000 1.062155e+00
5 5.000000e-03 1.000000e+05 -59.185814 -64.082019 0.007475 1.090874e+00
5 5.000000e-03 1.000000e+05 -59.185814 -62.390476 0.040573 1.100343e+00
5 5.000000e-03 1.000000e+05 -59.185814 -60.330103 0.318450 1.095003e+00
5 5.000000e-03 1.000000e+05 -59.185814 -61.148461 0.140486 1.077746e+00
6 5.000000e-03 1.000000e+05 -57.283163 -57.283163 1.000000 1.075340e+00
6 5.000000e-03 1.000000e+05 -57.283163 -59.969842 0.068107 1.095520e+00
7 5.000000e-03 1.000000e+05 -56.279131 -56.279131 1.000000 1.099941e+00
8 5.000000e-03 1.000000e+05 -55.983681 -55.983681 1.000000 1.082821e+00
8 5.000000e-03 1.000000e+05 -55.983681 -57.086149 0.332050 1.093861e+00
9 5.000000e-03 1.000000e+05 -54.025592 -54.025592 1.000000 1.077842e+00
10 5.000000e-03 1.000000e+05 -51.740558 -51.740558 1.000000 1.100543e+00
10 5.000000e-03 1.000000e+05 -51.740558 -53.704178 0.140349 1.094359e+00
11 5.000000e-03 1.000000e+05 -51.115072 -51.115072 1.000000 1.099779e+00
11 5.000000e-03 1.000000e+05 -51.115072 -55.105330 0.018495 1.279808e+00
12 5.000000e-03 1.000000e+05 -50.531935 -50.531935 1.000000 1.090689e+00
13 5.000000e-03 1.000000e+05 -50.514126 -50.514126 1.000000 1.082351e+00
13 5.000000e-03 1.000000e+05 -50.514126 -53.878903 0.034570 1.098657e+00
13 5.000000e-03 1.000000e+05 -50.514126 -53.531626 0.048923 1.060592e+00
14 5.000000e-03 1.000000e+05 -51.044621 -51.044621 0.588314 1.087448e+00
15 5.000000e-03 1.000000e+05 -51.934918 -51.934918 0.410534 1.078950e+00
15 5.000000e-03 1.000000e+05 -51.934918 -52.768297 0.434578 1.090423e+00
16 5.000000e-03 1.000000e+05 -50.424064 -50.424064 1.000000 1.059760e+00
16 5.000000e-03 1.000000e+05 -50.424064 -53.454709 0.048284 1.077797e+00
16 5.000000e-03 1.000000e+05 -50.424064 -51.625640 0.300720 1.095233e+00
17 5.000000e-03 1.000000e+05 -50.481119 -50.481119 0.944542 1.075647e+00
