accepted delta gamma error Lprev Lstar alpha time
1 1.000000e-01 1.000000e+04 -1.484307e-03 -14.843070 -14.843070 0.422729 1.009154e+00
2 9.523810e-02 1.000000e+04 -1.461641e-03 -14.616410 -14.616410 1.000000 1.009680e+00
2 9.090909e-02 1.000000e+04 -1.644602e-03 -14.616410 -16.446023 0.160476 1.009916e+00
3 8.695652e-02 1.000000e+04 -1.641100e-03 -16.411000 -16.411000 0.166196 1.008167e+00
4 8.333333e-02 1.000000e+04 -1.425360e-03 -14.253595 -14.253595 1.000000 1.009586e+00
5 8.000000e-02 1.000000e+04 -1.241823e-03 -12.418234 -12.418234 1.000000 1.009092e+00
6 7.692308e-02 1.000000e+04 -1.280947e-03 -12.809469 -12.809469 0.676221 1.008825e+00
6 7.407407e-02 1.000000e+04 -1.551543e-03 -12.809469 -15.515431 0.066806 1.008770e+00
6 7.142857e-02 1.000000e+04 -1.658373e-03 -12.809469 -16.583732 0.022954 1.009090e+00
7 6.896552e-02 1.000000e+04 -1.222409e-03 -12.224094 -12.224094 1.000000 1.008241e+00
8 6.666667e-02 1.000000e+04 -1.244196e-03 -12.441955 -12.441955 0.804237 1.008852e+00
9 6.451613e-02 1.000000e+04 -1.307277e-03 -13.072769 -13.072769 0.532159 1.009978e+00
10 6.250000e-02 1.000000e+04 -1.186772e-03 -11.867718 -11.867718 1.000000 1.009221e+00
11 6.060606e-02 1.000000e+04 -1.304453e-03 -13.044533 -13.044533 0.308259 1.008586e+00
11 5.882353e-02 1.000000e+04 -1.698570e-03 -13.044533 -16.985697 0.019426 1.007711e+00
11 5.714286e-02 1.000000e+04 -1.337471e-03 -13.044533 -13.374715 0.718793 1.008926e+00
12 5.555556e-02 1.000000e+04 -1.253893e-03 -12.538929 -12.538929 1.000000 1.008460e+00
13 5.405405e-02 1.000000e+04 -1.293624e-03 -12.936244 -12.936244 0.672122 1.007922e+00
14 5.263158e-02 1.000000e+04 -1.153735e-03 -11.537349 -11.537349 1.000000 1.008427e+00
15 5.128205e-02 1.000000e+04 -9.607829e-04 -9.607829 -9.607829 1.000000 1.008698e+00
16 5.000000e-02 1.000000e+04 -1.037592e-03 -10.375916 -10.375916 0.463900 1.008601e+00
17 4.878049e-02 1.000000e+04 -1.149943e-03 -11.499428 -11.499428 0.325136 1.008813e+00
18 4.761905e-02 1.000000e+04 -1.140571e-03 -11.405709 -11.405709 1.000000 1.008844e+00
19 4.651163e-02 1.000000e+04 -9.811896e-04 -9.811896 -9.811896 1.000000 1.008309e+00
20 4.545455e-02 1.000000e+04 -1.000870e-03 -10.008704 -10.008704 0.821348 1.008693e+00
20 4.444444e-02 1.100000e+04 -1.078871e-03 -11.009574 -11.867586 0.424004 1.008615e+00
20 4.347826e-02 1.100000e+04 -1.224444e-03 -11.009574 -13.468888 0.085494 1.009520e+00
20 4.255319e-02 1.100000e+04 -1.151761e-03 -11.009574 -12.669368 0.190178 1.008838e+00
21 4.166667e-02 1.100000e+04 -1.118242e-03 -12.300662 -12.300662 0.274971 1.008782e+00
22 4.081633e-02 1.100000e+04 -1.118336e-03 -12.301693 -12.301693 0.998970 1.009067e+00
23 4.000000e-02 1.100000e+04 -9.779874e-04 -10.757861 -10.757861 1.000000 1.009481e+00
23 3.921569e-02 1.100000e+04 -1.130469e-03 -10.757861 -12.435161 0.186878 1.009371e+00
24 3.846154e-02 1.100000e+04 -9.907857e-04 -10.898643 -10.898643 0.868679 1.008864e+00
25 3.773585e-02 1.100000e+04 -9.112201e-04 -10.023421 -10.023421 1.000000 1.009209e+00
26 3.703704e-02 1.100000e+04 -7.806371e-04 -8.587008 -8.587008 1.000000 1.008699e+00
26 3.636364e-02 1.100000e+04 -7.990985e-04 -8.587008 -8.790084 0.816217 1.009025e+00
26 3.571429e-02 1.100000e+04 -9.455820e-04 -8.587008 -10.401402 0.162937 1.009359e+00
27 3.508772e-02 1.100000e+04 -8.499929e-04 -9.349922 -9.349922 0.466306 1.008748e+00
28 3.448276e-02 1.100000e+04 -8.802758e-04 -9.683033 -9.683033 0.716690 1.007909e+00
29 3.389831e-02 1.100000e+04 -9.182456e-04 -10.100701 -10.100701 0.658581 1.009246e+00
30 3.333333e-02 1.100000e+04 -8.432847e-04 -9.276132 -9.276132 1.000000 1.008955e+00
30 3.278689e-02 1.100000e+04 -9.546158e-04 -9.276132 -10.500774 0.293863 1.008629e+00
31 3.225806e-02 1.100000e+04 -8.246273e-04 -9.070900 -9.070900 1.000000 1.009080e+00
31 3.174603e-02 1.100000e+04 -9.709299e-04 -9.070900 -10.680229 0.200022 1.008240e+00
31 3.125000e-02 1.100000e+04 -9.386578e-04 -9.070900 -10.325236 0.285265 1.008433e+00
32 3.076923e-02 1.100000e+04 -8.236766e-04 -9.060442 -9.060442 1.000000 1.009226e+00
33 3.030303e-02 1.100000e+04 -9.854238e-04 -10.839662 -10.839662 0.168770 1.009744e+00
34 2.985075e-02 1.100000e+04 -9.978423e-04 -10.976266 -10.976266 0.872316 1.009593e+00
35 2.941176e-02 1.100000e+04 -9.083431e-04 -9.991774 -9.991774 1.000000 1.009076e+00
36 2.898551e-02 1.100000e+04 -9.192395e-04 -10.111635 -10.111635 0.887044 1.008658e+00
37 2.857143e-02 1.100000e+04 -8.874621e-04 -9.762083 -9.762083 1.000000 1.009701e+00
37 2.816901e-02 1.100000e+04 -9.287214e-04 -9.762083 -10.215935 0.635177 1.008634e+00
37 2.777778e-02 1.100000e+04 -1.006057e-03 -9.762083 -11.066631 0.271295 1.008619e+00
38 2.739726e-02 1.100000e+04 -9.040791e-04 -9.944870 -9.944870 0.832946 1.009091e+00
39 2.702703e-02 1.100000e+04 -8.570625e-04 -9.427688 -9.427688 1.000000 1.009421e+00
39 2.666667e-02 1.100000e+04 -9.093742e-04 -9.427688 -10.003117 0.562464 1.009116e+00
40 2.631579e-02 1.100000e+04 -9.201556e-04 -10.121712 -10.121712 0.499562 1.008967e+00
40 2.597403e-02 1.210000e+04 -1.012070e-03 -11.133883 -12.246045 0.328847 1.008874e+00
41 2.564103e-02 1.210000e+04 -9.593836e-04 -11.608542 -11.608542 0.622097 1.009081e+00
