accepted delta gamma error Lprev Lstar alpha time
0 1.000000e-03 5.000000e+05 -1.268605e-04 -63.430232 -63.430232 0.000000 6.902175e-310
0 1.000000e-03 5.000000e+05 -1.543098e-04 -63.430232 -77.154881 0.000001 2.505155e+01
0 1.000000e-03 5.000000e+05 -1.386810e-04 -63.430232 -69.340491 0.002711 2.505922e+01
0 1.000000e-03 5.000000e+05 -1.311157e-04 -63.430232 -65.557875 0.119118 2.505399e+01
0 1.000000e-03 5.000000e+05 -1.538342e-04 -63.430232 -76.917093 0.000001 2.506257e+01
0 1.000000e-03 5.000000e+05 -2.607818e-04 -63.430232 -130.390898 0.000000 2.505658e+01
1 1.000000e-03 5.000000e+05 -1.249608e-04 -62.480418 -62.480418 1.000000 2.507517e+01
2 1.000000e-03 5.000000e+05 -1.286048e-04 -64.302382 -64.302382 0.161708 2.505393e+01
3 1.000000e-03 5.000000e+05 -1.288288e-04 -64.414420 -64.414420 0.894010 2.506013e+01
3 1.000000e-03 5.000000e+05 -1.318943e-04 -64.414420 -65.947155 0.215944 2.506175e+01
3 1.000000e-03 5.000000e+05 -1.397667e-04 -64.414420 -69.883333 0.004216 2.505132e+01
4 1.000000e-03 5.000000e+05 -1.343902e-04 -67.195112 -67.195112 0.061996 2.505920e+01
4 1.000000e-03 5.000000e+05 -1.494858e-04 -67.195112 -74.742924 0.000527 2.505123e+01
4 1.000000e-03 5.000000e+05 -1.450343e-04 -67.195112 -72.517147 0.004883 2.504791e+01
4 1.000000e-03 5.000000e+05 -1.353950e-04 -67.195112 -67.697510 0.605078 2.505577e+01
4 1.000000e-03 5.000000e+05 -1.361856e-04 -67.195112 -68.092819 0.407503 2.504759e+01
4 1.000000e-03 5.000000e+05 -1.372999e-04 -67.195112 -68.649938 0.233441 2.506761e+01
4 1.000000e-03 5.000000e+05 -1.385938e-04 -67.195112 -69.296912 0.122236 2.504794e+01
5 1.000000e-03 5.000000e+05 -1.349376e-04 -67.468825 -67.468825 0.760551 2.506050e+01
6 1.000000e-03 5.000000e+05 -1.306200e-04 -65.310015 -65.310015 1.000000 2.505861e+01
6 1.000000e-03 5.000000e+05 -1.434017e-04 -65.310015 -71.700845 0.001677 2.505724e+01
7 1.000000e-03 5.000000e+05 -1.365374e-04 -68.268691 -68.268691 0.051888 2.504522e+01
8 1.000000e-03 5.000000e+05 -1.292643e-04 -64.632163 -64.632163 1.000000 2.504899e+01
8 1.000000e-03 5.000000e+05 -1.423199e-04 -64.632163 -71.159930 0.001462 2.504967e+01
8 1.000000e-03 5.000000e+05 -1.378215e-04 -64.632163 -68.910745 0.013862 2.505395e+01
8 1.000000e-03 5.000000e+05 -1.337338e-04 -64.632163 -66.866913 0.107019 2.504781e+01
8 1.000000e-03 5.000000e+05 -1.315612e-04 -64.632163 -65.780610 0.317129 2.506596e+01
8 1.000000e-03 5.000000e+05 -1.379444e-04 -64.632163 -68.972181 0.013036 2.504952e+01
8 1.000000e-03 5.000000e+05 -1.330012e-04 -64.632163 -66.500603 0.154364 2.506003e+01
8 1.000000e-03 5.000000e+05 -1.415836e-04 -64.632163 -70.791783 0.002113 2.504811e+01
8 1.000000e-03 5.000000e+05 -1.506827e-04 -64.632163 -75.341346 0.000022 2.505654e+01
8 1.000000e-03 5.000000e+05 -1.442215e-04 -64.632163 -72.110744 0.000565 2.504878e+01
8 1.000000e-03 5.000000e+05 -1.648421e-04 -64.632163 -82.421063 0.000000 2.505272e+01
9 1.000000e-03 5.000000e+05 -1.324239e-04 -66.211959 -66.211959 0.206017 2.504879e+01
10 1.000000e-03 5.000000e+05 -1.308330e-04 -65.416481 -65.416481 1.000000 2.504835e+01
11 1.000000e-03 5.000000e+05 -1.299244e-04 -64.962198 -64.962198 1.000000 2.504827e+01
11 1.000000e-03 5.000000e+05 -1.316273e-04 -64.962198 -65.813634 0.426801 2.504750e+01
11 1.000000e-03 5.000000e+05 -1.368791e-04 -64.962198 -68.439526 0.030890 2.505411e+01
11 1.000000e-03 5.000000e+05 -1.410262e-04 -64.962198 -70.513105 0.003884 2.504881e+01
12 1.000000e-03 5.000000e+05 -1.325436e-04 -66.271804 -66.271804 0.269926 2.505974e+01
13 1.000000e-03 5.000000e+05 -1.329264e-04 -66.463221 -66.463221 0.825789 2.506923e+01
14 1.000000e-03 5.000000e+05 -1.341270e-04 -67.063499 -67.063499 0.548659 2.506156e+01
14 1.000000e-03 5.000000e+05 -1.379268e-04 -67.063499 -68.963402 0.149583 2.505534e+01
14 1.000000e-03 5.000000e+05 -1.452086e-04 -67.063499 -72.604322 0.003923 2.504734e+01
14 1.000000e-03 5.000000e+05 -1.405862e-04 -67.063499 -70.293115 0.039573 2.505876e+01
14 1.000000e-03 5.000000e+05 -1.379722e-04 -67.063499 -68.986122 0.146223 2.504911e+01
15 1.000000e-03 5.000000e+05 -1.304286e-04 -65.214288 -65.214288 1.000000 2.506393e+01
16 1.000000e-03 5.000000e+05 -1.346402e-04 -67.320092 -67.320092 0.121748 2.506465e+01
16 1.000000e-03 5.000000e+05 -1.595107e-04 -67.320092 -79.755351 0.000004 2.505565e+01
17 1.000000e-03 5.000000e+05 -1.338302e-04 -66.915096 -66.915096 1.000000 2.505699e+01
18 1.000000e-03 5.000000e+05 -1.322371e-04 -66.118527 -66.118527 1.000000 2.505854e+01
19 1.000000e-03 5.000000e+05 -1.326336e-04 -66.316799 -66.316799 0.820147 2.505030e+01
19 1.000000e-03 5.000000e+05 -1.441050e-04 -66.316799 -72.052520 0.003229 2.506318e+01
19 1.000000e-03 5.000000e+05 -1.345055e-04 -66.316799 -67.252765 0.392207 2.505588e+01
19 1.000000e-03 5.000000e+05 -1.421736e-04 -66.316799 -71.086796 0.008480 2.504739e+01
19 1.000000e-03 5.000000e+05 -1.470044e-04 -66.316799 -73.502220 0.000758 2.505577e+01
20 1.000000e-03 5.000000e+05 -1.317595e-04 -65.879770 -65.879770 1.000000 2.504677e+01
21 1.000000e-03 5.000000e+05 -1.312360e-04 -65.618011 -65.618011 1.000000 2.505269e+01
22 1.000000e-03 5.000000e+05 -1.307084e-04 -65.354193 -65.354193 1.000000 2.504802e+01
23 1.000000e-03 5.000000e+05 -1.293686e-04 -64.684284 -64.684284 1.000000 2.504576e+01
24 1.000000e-03 5.000000e+05 -1.313991e-04 -65.699536 -65.699536 0.362311 2.504590e+01
24 1.000000e-03 5.000000e+05 -1.353936e-04 -65.699536 -67.696807 0.135705 2.505099e+01
24 1.000000e-03 5.000000e+05 -1.330249e-04 -65.699536 -66.512430 0.443572 2.505703e+01
25 1.000000e-03 5.000000e+05 -1.305477e-04 -65.273832 -65.273832 1.000000 2.504896e+01
25 1.000000e-03 5.000000e+05 -1.358579e-04 -65.273832 -67.928968 0.070289 2.505051e+01
26 1.000000e-03 5.000000e+05 -1.303320e-04 -65.166001 -65.166001 1.000000 2.506176e+01
26 1.000000e-03 5.000000e+05 -1.338717e-04 -65.166001 -66.935836 0.170361 2.506728e+01
26 1.000000e-03 5.000000e+05 -1.342097e-04 -65.166001 -67.104854 0.143869 2.505206e+01
27 1.000000e-03 5.000000e+05 -1.295088e-04 -64.754399 -64.754399 1.000000 2.506443e+01
27 1.000000e-03 5.000000e+05 -1.399355e-04 -64.754399 -69.967741 0.005443 2.505626e+01
27 1.000000e-03 5.000000e+05 -1.379083e-04 -64.754399 -68.954171 0.014999 2.505007e+01
27 1.000000e-03 5.000000e+05 -1.376526e-04 -64.754399 -68.826301 0.017045 2.506334e+01
27 1.000000e-03 5.000000e+05 -1.341839e-04 -64.754399 -67.091943 0.096564 2.505748e+01
27 1.000000e-03 5.000000e+05 -1.326618e-04 -64.754399 -66.330883 0.206701 2.506500e+01
28 1.000000e-03 5.000000e+05 -1.290484e-04 -64.524218 -64.524218 1.000000 2.505225e+01
29 1.000000e-03 5.000000e+05 -1.268435e-04 -63.421737 -63.421737 1.000000 2.505131e+01
29 1.000000e-03 5.000000e+05 -1.280809e-04 -63.421737 -64.040437 0.538644 2.505134e+01
29 1.000000e-03 5.000000e+05 -1.388636e-04 -63.421737 -69.431793 0.002454 2.505617e+01
29 1.000000e-03 5.000000e+05 -1.396004e-04 -63.421737 -69.800198 0.001698 2.504909e+01
29 1.000000e-03 5.000000e+05 -1.281107e-04 -63.421737 -64.055340 0.530676 2.505986e+01
29 1.000000e-03 5.000000e+05 -1.367406e-04 -63.421737 -68.370293 0.007094 2.505616e+01
29 1.000000e-03 5.000000e+05 -1.299567e-04 -63.421737 -64.978357 0.210848 2.506584e+01
29 1.000000e-03 5.000000e+05 -1.293583e-04 -63.421737 -64.679156 0.284387 2.505380e+01
29 1.000000e-03 5.000000e+05 -1.343250e-04 -63.421737 -67.162501 0.023736 2.505794e+01
29 1.000000e-03 5.000000e+05 -1.339862e-04 -63.421737 -66.993120 0.028117 2.505159e+01
30 1.000000e-03 5.000000e+05 -1.298516e-04 -64.925809 -64.925809 0.222223 2.505611e+01
30 1.000000e-03 5.000000e+05 -1.323773e-04 -64.925809 -66.188674 0.282842 2.506413e+01
30 1.000000e-03 5.000000e+05 -1.350596e-04 -64.925809 -67.529800 0.073978 2.504743e+01
30 1.000000e-03 5.000000e+05 -1.353091e-04 -64.925809 -67.654531 0.065303 2.506250e+01
31 1.000000e-03 5.000000e+05 -1.289910e-04 -64.495490 -64.495490 1.000000 2.504990e+01
31 1.000000e-03 5.000000e+05 -1.329069e-04 -64.495490 -66.453463 0.141144 2.505107e+01
32 1.000000e-03 5.000000e+05 -1.326555e-04 -66.327774 -66.327774 0.160048 2.507402e+01
33 1.000000e-03 5.000000e+05 -1.327480e-04 -66.373984 -66.373984 0.954842 2.506493e+01
33 1.000000e-03 5.000000e+05 -1.615636e-04 -66.373984 -80.781818 0.000001 2.506332e+01
33 1.000000e-03 5.000000e+05 -1.345895e-04 -66.373984 -67.294759 0.398210 2.505229e+01
33 1.000000e-03 5.000000e+05 -1.380960e-04 -66.373984 -69.047988 0.068975 2.506136e+01
34 1.000000e-03 5.000000e+05 -1.320450e-04 -66.022500 -66.022500 1.000000 2.505137e+01
35 1.000000e-03 5.000000e+05 -1.341437e-04 -67.071826 -67.071826 0.350174 2.504615e+01
36 1.000000e-03 5.000000e+05 -1.328191e-04 -66.409568 -66.409568 1.000000 2.504717e+01
36 1.000000e-03 5.000000e+05 -1.459559e-04 -66.409568 -72.977929 0.001404 2.504809e+01
37 1.000000e-03 5.000000e+05 -1.302466e-04 -65.123291 -65.123291 1.000000 2.505292e+01
37 1.000000e-03 5.000000e+05 -1.358263e-04 -65.123291 -67.913140 0.061430 2.505217e+01
38 1.000000e-03 5.000000e+05 -1.298293e-04 -64.914634 -64.914634 1.000000 2.504830e+01
39 1.000000e-03 5.000000e+05 -1.295117e-04 -64.755847 -64.755847 1.000000 2.504730e+01
39 1.000000e-03 5.000000e+05 -1.334087e-04 -64.755847 -66.704374 0.142484 2.504697e+01
39 1.000000e-03 5.000000e+05 -1.417142e-04 -64.755847 -70.857087 0.002240 2.505486e+01
40 1.000000e-03 5.000000e+05 -1.301649e-04 -65.082459 -65.082459 0.721363 2.504898e+01
40 1.000000e-03 5.000000e+05 -1.362789e-04 -65.082459 -68.139459 0.047029 2.504733e+01
41 1.000000e-03 5.000000e+05 -1.297184e-04 -64.859220 -64.859220 1.000000 2.506139e+01
42 1.000000e-03 5.000000e+05 -1.307116e-04 -65.355791 -65.355791 0.608614 2.505291e+01
43 1.000000e-03 5.000000e+05 -1.282444e-04 -64.122209 -64.122209 1.000000 2.505131e+01
43 1.000000e-03 5.000000e+05 -1.332474e-04 -64.122209 -66.623718 0.081961 2.505592e+01
43 1.000000e-03 5.000000e+05 -1.342164e-04 -64.122209 -67.108197 0.050490 2.504570e+01
43 1.000000e-03 5.000000e+05 -1.359692e-04 -64.122209 -67.984617 0.021017 2.506132e+01
43 1.000000e-03 5.000000e+05 -1.320159e-04 -64.122209 -66.007929 0.151720 2.504840e+01
44 1.000000e-03 5.000000e+05 -1.268923e-04 -63.446162 -63.446162 1.000000 2.506008e+01
44 1.000000e-03 5.000000e+05 -1.318910e-04 -63.446162 -65.945479 0.082141 2.505180e+01
45 1.000000e-03 5.000000e+05 -1.287136e-04 -64.356779 -64.356779 0.402276 2.504685e+01
45 1.000000e-03 5.000000e+05 -1.345284e-04 -64.356779 -67.264180 0.054617 2.504795e+01
46 1.000000e-03 5.000000e+05 -1.325933e-04 -66.296660 -66.296660 0.143721 2.505851e+01
