accepted delta gamma Lprev Lstar alpha time
0 5.000000e-03 1.000000e+05 -228.546186 -229.473934 0.395443 5.686254e-01
1 5.000000e-03 1.000000e+05 -230.786657 -230.786657 0.106408 5.677830e-01
1 5.000000e-03 1.000000e+05 -230.786657 -231.731792 0.388627 5.686593e-01
2 5.000000e-03 1.000000e+05 -226.592741 -226.592741 1.000000 5.680991e-01
3 5.000000e-03 1.000000e+05 -223.181048 -223.181048 1.000000 5.684300e-01
3 5.000000e-03 1.000000e+05 -223.181048 -227.342895 0.015579 5.688621e-01
4 5.000000e-03 1.000000e+05 -216.201462 -216.201462 1.000000 5.681981e-01
5 5.000000e-03 1.000000e+05 -210.033426 -210.033426 1.000000 5.675390e-01
5 5.000000e-03 1.000000e+05 -210.033426 -214.018891 0.018584 5.691191e-01
6 5.000000e-03 1.000000e+05 -208.179877 -208.179877 1.000000 5.679767e-01
6 5.000000e-03 1.000000e+05 -208.179877 -211.866177 0.025065 5.675061e-01
7 5.000000e-03 1.000000e+05 -204.913458 -204.913458 1.000000 5.683757e-01
7 5.000000e-03 1.000000e+05 -204.913458 -207.480220 0.076784 5.683811e-01
8 5.000000e-03 1.000000e+05 -204.230354 -204.230354 1.000000 5.678648e-01
9 5.000000e-03 1.000000e+05 -200.026860 -200.026860 1.000000 5.683036e-01
9 5.000000e-03 1.000000e+05 -200.026860 -204.119115 0.016702 5.682055e-01
9 5.000000e-03 1.000000e+05 -200.026860 -203.732584 0.024582 5.682622e-01
10 5.000000e-03 1.000000e+05 -198.458093 -198.458093 1.000000 5.680968e-01
11 5.000000e-03 1.000000e+05 -197.871500 -197.871500 1.000000 5.682059e-01
12 5.000000e-03 1.000000e+05 -197.744669 -197.744669 1.000000 5.681032e-01
12 5.000000e-03 1.000000e+05 -197.744669 -201.728263 0.018619 5.684349e-01
12 5.000000e-03 1.000000e+05 -197.744669 -201.117707 0.034285 5.683212e-01
13 5.000000e-03 1.000000e+05 -198.815997 -198.815997 0.342553 5.683412e-01
13 5.000000e-03 1.000000e+05 -198.815997 -202.756696 0.019435 5.677865e-01
14 5.000000e-03 1.000000e+05 -196.656835 -196.656835 1.000000 5.681186e-01
14 5.000000e-03 1.000000e+05 -196.656835 -197.476892 0.440406 5.681055e-01
15 5.000000e-03 1.000000e+05 -194.317039 -194.317039 1.000000 5.683338e-01
15 5.000000e-03 1.000000e+05 -194.317039 -196.213335 0.150124 5.676311e-01
16 5.000000e-03 1.000000e+05 -195.602310 -195.602310 0.276576 5.689631e-01
17 5.000000e-03 1.000000e+05 -194.914206 -194.914206 1.000000 5.681413e-01
18 5.000000e-03 1.000000e+05 -193.022839 -193.022839 1.000000 5.681627e-01
18 5.000000e-03 1.000000e+05 -193.022839 -195.829634 0.060398 5.681863e-01
19 5.000000e-03 1.000000e+05 -189.102575 -189.102575 1.000000 5.681931e-01
19 5.000000e-03 1.000000e+05 -189.102575 -190.819790 0.179566 5.677907e-01
19 5.000000e-03 1.000000e+05 -189.102575 -191.553603 0.086205 5.682073e-01
20 5.000000e-03 1.000000e+05 -184.010866 -184.010866 1.000000 5.675177e-01
20 5.000000e-03 1.000000e+05 -184.010866 -187.552612 0.028963 5.682946e-01
20 5.000000e-03 1.000000e+05 -184.010866 -187.426687 0.032849 5.681239e-01
20 5.000000e-03 1.000000e+05 -184.010866 -189.623749 0.003651 5.688941e-01
21 5.000000e-03 1.000000e+05 -184.791875 -184.791875 0.457944 5.679214e-01
22 5.000000e-03 1.000000e+05 -184.773398 -184.773398 1.000000 5.683307e-01
22 5.000000e-03 1.000000e+05 -184.773398 -187.540023 0.062874 5.677008e-01
22 5.000000e-03 1.000000e+05 -184.773398 -185.850781 0.340485 5.684498e-01
23 5.000000e-03 1.000000e+05 -183.798699 -183.798699 1.000000 5.680092e-01
23 5.000000e-03 1.000000e+05 -183.798699 -184.695273 0.407965 5.683939e-01
24 5.000000e-03 1.000000e+05 -182.023304 -182.023304 1.000000 5.679820e-01
24 5.000000e-03 1.000000e+05 -182.023304 -182.633414 0.543291 5.686019e-01
25 5.000000e-03 1.000000e+05 -179.045572 -179.045572 1.000000 5.678183e-01
25 5.000000e-03 1.000000e+05 -179.045572 -181.431451 0.092008 5.680963e-01
25 5.000000e-03 1.000000e+05 -179.045572 -179.303426 0.772707 5.676562e-01
25 5.000000e-03 1.000000e+05 -179.045572 -180.941079 0.150242 5.684091e-01
26 5.000000e-03 1.000000e+05 -178.425117 -178.425117 1.000000 5.681687e-01
27 5.000000e-03 1.000000e+05 -176.892414 -176.892414 1.000000 5.682798e-01
27 5.000000e-03 1.000000e+05 -176.892414 -177.860268 0.379897 5.676826e-01
27 5.000000e-03 1.000000e+05 -176.892414 -179.075144 0.112733 5.684365e-01
28 5.000000e-03 1.000000e+05 -176.905818 -176.905818 0.986685 5.679517e-01
28 5.000000e-03 1.000000e+05 -176.905818 -179.861149 0.052061 5.682437e-01
28 5.000000e-03 1.000000e+05 -176.905818 -180.718541 0.022088 5.680620e-01
29 5.000000e-03 1.000000e+05 -177.480825 -177.480825 0.562701 5.684643e-01
30 5.000000e-03 1.000000e+05 -173.580356 -173.580356 1.000000 5.677968e-01
30 5.000000e-03 1.000000e+05 -173.580356 -174.982445 0.246082 5.683273e-01
31 5.000000e-03 1.000000e+05 -172.615521 -172.615521 1.000000 5.678977e-01
31 5.000000e-03 1.000000e+05 -172.615521 -174.579756 0.140263 5.681548e-01
31 5.000000e-03 1.000000e+05 -172.615521 -175.548710 0.053227 5.678929e-01
32 5.000000e-03 1.000000e+05 -171.366981 -171.366981 1.000000 5.679304e-01
32 5.000000e-03 1.000000e+05 -171.366981 -178.514769 0.000787 5.682233e-01
33 5.000000e-03 1.000000e+05 -167.281448 -167.281448 1.000000 5.692009e-01
33 5.000000e-03 1.000000e+05 -167.281448 -175.635349 0.000235 5.679902e-01
33 5.000000e-03 1.000000e+05 -167.281448 -194.483134 0.000000 5.683763e-01
34 5.000000e-03 1.000000e+05 -165.684438 -165.684438 1.000000 5.679707e-01
34 5.000000e-03 1.000000e+05 -165.684438 -170.251367 0.010390 5.686280e-01
34 5.000000e-03 1.000000e+05 -165.684438 -168.139876 0.085826 5.701326e-01
35 5.000000e-03 1.000000e+05 -166.349261 -166.349261 0.514364 5.681561e-01
36 5.000000e-03 1.000000e+05 -163.524628 -163.524628 1.000000 5.676918e-01
36 5.000000e-03 1.000000e+05 -163.524628 -169.097158 0.003801 5.685296e-01
37 5.000000e-03 1.000000e+05 -159.172685 -159.172685 1.000000 5.678640e-01
