accepted delta gamma Lprev Lstar alpha time
1 5.000000e-03 1.000000e+05 -281.245918 -281.245918 1.000000 5.725567e-01
2 5.000000e-03 1.000000e+05 -265.080892 -265.080892 1.000000 5.697244e-01
3 5.000000e-03 1.000000e+05 -264.893802 -264.893802 1.000000 5.703144e-01
3 5.000000e-03 1.000000e+05 -264.893802 -266.359070 0.231016 5.696118e-01
4 5.000000e-03 1.000000e+05 -261.756211 -261.756211 1.000000 5.699697e-01
5 5.000000e-03 1.000000e+05 -261.998776 -261.998776 0.784613 5.705732e-01
5 5.000000e-03 1.000000e+05 -261.998776 -263.357832 0.256903 5.699867e-01
6 5.000000e-03 1.000000e+05 -243.368236 -243.368236 1.000000 5.700030e-01
6 5.000000e-03 1.000000e+05 -243.368236 -246.960324 0.027541 5.702268e-01
7 5.000000e-03 1.000000e+05 -231.947196 -231.947196 1.000000 5.698640e-01
8 5.000000e-03 1.000000e+05 -228.797957 -228.797957 1.000000 5.698406e-01
8 5.000000e-03 1.000000e+05 -228.797957 -235.560055 0.001157 5.707191e-01
8 5.000000e-03 1.000000e+05 -228.797957 -239.266663 0.000028 5.700426e-01
9 5.000000e-03 1.000000e+05 -222.645621 -222.645621 1.000000 5.700947e-01
9 5.000000e-03 1.000000e+05 -222.645621 -235.410768 0.000003 5.694667e-01
10 5.000000e-03 1.000000e+05 -219.514688 -219.514688 1.000000 5.706334e-01
11 5.000000e-03 1.000000e+05 -219.086411 -219.086411 1.000000 5.700161e-01
12 5.000000e-03 1.000000e+05 -217.356038 -217.356038 1.000000 5.694579e-01
13 5.000000e-03 1.000000e+05 -216.826403 -216.826403 1.000000 5.696791e-01
14 5.000000e-03 1.000000e+05 -209.678422 -209.678422 1.000000 5.693087e-01
15 5.000000e-03 1.000000e+05 -207.137318 -207.137318 1.000000 5.697541e-01
15 5.000000e-03 1.000000e+05 -207.137318 -215.191003 0.000318 5.704333e-01
15 5.000000e-03 1.000000e+05 -207.137318 -208.318099 0.307039 5.701022e-01
16 5.000000e-03 1.000000e+05 -202.721908 -202.721908 1.000000 5.695715e-01
17 5.000000e-03 1.000000e+05 -201.686396 -201.686396 1.000000 5.699696e-01
18 5.000000e-03 1.000000e+05 -202.871438 -202.871438 0.305733 5.694160e-01
18 5.000000e-03 1.000000e+05 -202.871438 -209.908454 0.000879 5.696672e-01
18 5.000000e-03 1.000000e+05 -202.871438 -210.988838 0.000298 5.695722e-01
18 5.000000e-03 1.000000e+05 -202.871438 -208.369839 0.004093 5.699591e-01
