accepted delta gamma error Lprev Lstar alpha time
0 5.000000e-03 1.000000e+05 -1.468519e-03 -145.131406 -146.851894 0.178979 5.756605e-01
1 5.000000e-03 1.000000e+05 -1.444173e-03 -144.417301 -144.417301 1.000000 5.758392e-01
2 5.000000e-03 1.000000e+05 -1.440105e-03 -144.010451 -144.010451 1.000000 5.757708e-01
3 5.000000e-03 1.000000e+05 -1.431488e-03 -143.148787 -143.148787 1.000000 5.765075e-01
4 5.000000e-03 1.000000e+05 -1.388756e-03 -138.875626 -138.875626 1.000000 5.756152e-01
5 5.000000e-03 1.000000e+05 -1.379175e-03 -137.917512 -137.917512 1.000000 5.757400e-01
5 5.000000e-03 1.000000e+05 -1.433205e-03 -137.917512 -143.320459 0.004503 5.755114e-01
6 5.000000e-03 1.000000e+05 -1.366085e-03 -136.608494 -136.608494 1.000000 5.752414e-01
6 5.000000e-03 1.000000e+05 -1.392943e-03 -136.608494 -139.294327 0.068164 5.756493e-01
6 5.000000e-03 1.000000e+05 -1.390752e-03 -136.608494 -139.075244 0.084860 5.753872e-01
6 5.000000e-03 1.000000e+05 -1.400786e-03 -136.608494 -140.078576 0.031114 5.751280e-01
6 5.000000e-03 1.000000e+05 -1.408807e-03 -136.608494 -140.880717 0.013951 5.764608e-01
6 5.000000e-03 1.000000e+05 -1.392640e-03 -136.608494 -139.263995 0.070264 5.749792e-01
6 5.000000e-03 1.000000e+05 -1.497398e-03 -136.608494 -149.739833 0.000002 5.753367e-01
6 5.000000e-03 1.000000e+05 -1.398478e-03 -136.608494 -139.847836 0.039190 5.752385e-01
7 5.000000e-03 1.000000e+05 -1.366013e-03 -136.601272 -136.601272 1.000000 5.756487e-01
8 5.000000e-03 1.000000e+05 -1.363391e-03 -136.339136 -136.339136 1.000000 5.754916e-01
8 5.000000e-03 1.000000e+05 -1.419072e-03 -136.339136 -141.907245 0.003818 5.753311e-01
8 5.000000e-03 1.000000e+05 -1.377384e-03 -136.339136 -137.738408 0.246777 5.748694e-01
9 5.000000e-03 1.000000e+05 -1.352379e-03 -135.237897 -135.237897 1.000000 5.755183e-01
9 5.000000e-03 1.000000e+05 -1.409936e-03 -135.237897 -140.993581 0.003165 5.751336e-01
9 5.000000e-03 1.000000e+05 -1.401389e-03 -135.237897 -140.138902 0.007439 5.751191e-01
10 5.000000e-03 1.000000e+05 -1.314816e-03 -131.481603 -131.481603 1.000000 5.754151e-01
10 5.000000e-03 1.000000e+05 -1.380599e-03 -131.481603 -138.059928 0.001390 5.754666e-01
10 5.000000e-03 1.000000e+05 -1.427919e-03 -131.481603 -142.791908 0.000012 5.748852e-01
10 5.000000e-03 1.000000e+05 -1.373676e-03 -131.481603 -137.367559 0.002778 5.754363e-01
10 5.000000e-03 1.000000e+05 -1.378795e-03 -131.481603 -137.879510 0.001665 5.752304e-01
10 5.000000e-03 1.000000e+05 -1.413061e-03 -131.481603 -141.306086 0.000054 5.753394e-01
10 5.000000e-03 1.000000e+05 -1.379189e-03 -131.481603 -137.918934 0.001601 5.753417e-01
10 5.000000e-03 1.000000e+05 -1.415885e-03 -131.481603 -141.588474 0.000041 5.753571e-01
10 5.000000e-03 1.000000e+05 -1.357643e-03 -131.481603 -135.764307 0.013805 5.750794e-01
10 5.000000e-03 1.000000e+05 -1.397849e-03 -131.481603 -139.784895 0.000248 5.752400e-01
10 5.000000e-03 1.000000e+05 -1.388508e-03 -131.481603 -138.850842 0.000630 5.750284e-01
10 5.000000e-03 1.000000e+05 -1.373426e-03 -131.481603 -137.342579 0.002848 5.754515e-01
10 5.000000e-03 1.000000e+05 -1.383514e-03 -131.481603 -138.351445 0.001039 5.751946e-01
10 5.000000e-03 1.000000e+05 -1.458921e-03 -131.481603 -145.892068 0.000001 5.754481e-01
11 5.000000e-03 1.000000e+05 -1.323871e-03 -132.387081 -132.387081 0.404348 5.748647e-01
11 5.000000e-03 1.000000e+05 -1.363215e-03 -132.387081 -136.321540 0.019556 5.760295e-01
