accepted delta gamma error Lprev Lstar alpha time
0 1.000000e-01 1.000000e+04 -2.837955e-03 -25.276363 -28.379552 0.044906 1.008816e+00
1 9.523810e-02 1.000000e+04 -2.096224e-03 -20.962237 -20.962237 1.000000 1.008027e+00
1 9.090909e-02 1.000000e+04 -2.361412e-03 -20.962237 -23.614122 0.070518 3.001552e+00
2 8.695652e-02 1.000000e+04 -1.728397e-03 -17.283975 -17.283975 1.000000 1.008289e+00
2 8.333333e-02 1.000000e+04 -1.953685e-03 -17.283975 -19.536848 0.105097 1.010055e+00
3 8.000000e-02 1.000000e+04 -1.609864e-03 -16.098636 -16.098636 1.000000 1.008753e+00
3 7.692308e-02 1.000000e+04 -1.644250e-03 -16.098636 -16.442499 0.709026 1.009675e+00
4 7.407407e-02 1.000000e+04 -1.453003e-03 -14.530028 -14.530028 1.000000 1.008651e+00
4 7.142857e-02 1.000000e+04 -1.749230e-03 -14.530028 -17.492302 0.051701 1.008886e+00
4 6.896552e-02 1.000000e+04 -1.888854e-03 -14.530028 -18.888540 0.012797 1.009982e+00
4 6.666667e-02 1.000000e+04 -1.731266e-03 -14.530028 -17.312658 0.061876 1.008919e+00
5 6.451613e-02 1.000000e+04 -1.361714e-03 -13.617141 -13.617141 1.000000 1.008968e+00
6 6.250000e-02 1.000000e+04 -1.153421e-03 -11.534213 -11.534213 1.000000 1.009171e+00
7 6.060606e-02 1.000000e+04 -1.044596e-03 -10.445962 -10.445962 1.000000 1.009445e+00
7 5.882353e-02 1.000000e+04 -1.300442e-03 -10.445962 -13.004418 0.077424 1.009289e+00
7 5.714286e-02 1.000000e+04 -1.248585e-03 -10.445962 -12.485847 0.130044 1.010677e+00
7 5.555556e-02 1.000000e+04 -1.227132e-03 -10.445962 -12.271317 0.161160 1.009067e+00
7 5.405405e-02 1.000000e+04 -1.222845e-03 -10.445962 -12.228446 0.168220 1.008241e+00
7 5.263158e-02 1.000000e+04 -1.402306e-03 -10.445962 -14.023058 0.027957 1.007396e+00
7 5.128205e-02 1.000000e+04 -1.303748e-03 -10.445962 -13.037483 0.074906 1.007702e+00
7 5.000000e-02 1.000000e+04 -1.263753e-03 -10.445962 -12.637532 0.111741 1.008775e+00
7 4.878049e-02 1.000000e+04 -1.225170e-03 -10.445962 -12.251698 0.164353 1.009692e+00
7 4.761905e-02 1.000000e+04 -1.231003e-03 -10.445962 -12.310034 0.155040 1.008512e+00
7 4.651163e-02 1.000000e+04 -1.187214e-03 -10.445962 -11.872138 0.240226 1.009900e+00
7 4.545455e-02 1.000000e+04 -1.131497e-03 -10.445962 -11.314970 0.419367 1.009274e+00
7 4.444444e-02 1.000000e+04 -1.317614e-03 -10.445962 -13.176143 0.065207 1.009043e+00
7 4.347826e-02 1.000000e+04 -1.420391e-03 -10.445962 -14.203910 0.023332 1.009000e+00
8 4.255319e-02 1.000000e+04 -1.093765e-03 -10.937652 -10.937652 0.611592 1.009230e+00
9 4.166667e-02 1.000000e+04 -1.091809e-03 -10.918092 -10.918092 1.000000 1.009577e+00
10 4.081633e-02 1.000000e+04 -1.042551e-03 -10.425508 -10.425508 1.000000 1.009969e+00
11 4.000000e-02 1.000000e+04 -1.071096e-03 -10.710956 -10.710956 0.751678 1.008745e+00
11 3.921569e-02 1.000000e+04 -1.383022e-03 -10.710956 -13.830219 0.044190 1.009273e+00
11 3.846154e-02 1.000000e+04 -1.212544e-03 -10.710956 -12.125440 0.243051 1.009058e+00
12 3.773585e-02 1.000000e+04 -1.133629e-03 -11.336287 -11.336287 0.535084 1.008846e+00
12 3.703704e-02 1.000000e+04 -1.264573e-03 -11.336287 -12.645734 0.269969 1.008817e+00
12 3.636364e-02 1.000000e+04 -1.237280e-03 -11.336287 -12.372796 0.354691 1.009080e+00
13 3.571429e-02 1.000000e+04 -1.139458e-03 -11.394578 -11.394578 0.943376 1.010170e+00
13 3.508772e-02 1.000000e+04 -1.359054e-03 -11.394578 -13.590540 0.111251 1.009038e+00
14 3.448276e-02 1.000000e+04 -1.132179e-03 -11.321791 -11.321791 1.000000 3.321930e+00
14 3.389831e-02 1.000000e+04 -1.300551e-03 -11.321791 -13.005513 0.185681 1.009377e+00
15 3.333333e-02 1.000000e+04 -1.219411e-03 -12.194107 -12.194107 0.417982 1.009826e+00
16 3.278689e-02 1.000000e+04 -1.247918e-03 -12.479180 -12.479180 0.751960 1.008096e+00
17 3.225806e-02 1.000000e+04 -1.249121e-03 -12.491210 -12.491210 0.988041 1.009282e+00
18 3.174603e-02 1.000000e+04 -1.307839e-03 -13.078389 -13.078389 0.555894 1.010502e+00
